Gender,Married,LoanAmount,Credit_History,Property_Area,Loan_Status
Male,No,,1,Urban,Y
Male,Yes,128,1,Rural,N
Male,Yes,66,1,Urban,Y
Male,Yes,120,1,Urban,Y
Male,No,141,1,Urban,Y
Male,Yes,267,1,Urban,Y
Male,Yes,95,1,Urban,Y
Male,Yes,158,0,Semiurban,N
Male,Yes,168,1,Urban,Y
Male,Yes,349,1,Semiurban,N
Male,Yes,70,1,Urban,Y
Male,Yes,109,1,Urban,Y
Male,Yes,200,1,Urban,Y
Male,No,114,1,Rural,N
Male,Yes,17,1,Urban,Y
Male,No,125,1,Urban,Y
Male,No,100,,Urban,Y
Female,No,76,0,Urban,N
Male,Yes,133,1,Rural,N
Male,Yes,115,1,Urban,Y
Male,Yes,104,0,Urban,N
Male,Yes,315,1,Urban,Y
Male,Yes,116,0,Semiurban,N
,Yes,112,0,Rural,N
Male,Yes,151,,Semiurban,N
Male,Yes,191,1,Semiurban,Y
Male,Yes,122,1,Semiurban,Y
Male,Yes,110,1,Urban,Y
Male,No,35,1,Urban,N
Female,No,120,1,Semiurban,Y
Male,Yes,201,,Urban,N
Male,No,74,1,Urban,N
Male,No,106,1,Rural,N
Male,Yes,114,1,Semiurban,Y
Male,No,320,1,Rural,N
Male,Yes,,1,Urban,Y
Male,Yes,100,0,Urban,N
Female,Yes,144,1,Semiurban,Y
Male,No,184,1,Urban,Y
Male,No,110,1,Semiurban,Y
Male,No,80,1,Urban,N
Male,No,47,1,Urban,Y
Male,Yes,75,,Urban,Y
Male,Yes,134,1,Semiurban,Y
Male,Yes,96,1,Urban,Y
Female,No,88,1,Urban,Y
Male,Yes,44,1,Urban,Y
Male,Yes,144,1,Urban,Y
Female,Yes,120,0,Urban,N
Female,No,144,1,Semiurban,Y
Female,Yes,100,1,Semiurban,Y
Female,No,120,1,Semiurban,Y
Female,No,112,1,Semiurban,N
Male,Yes,134,1,Urban,N
Female,Yes,286,0,Urban,N
Male,Yes,97,1,Semiurban,Y
Male,Yes,96,1,Semiurban,Y
Male,Yes,135,1,Rural,N
Male,Yes,180,1,Urban,Y
Male,Yes,144,1,Urban,Y
Male,Yes,120,1,Urban,Y
Male,Yes,99,1,Urban,Y
Male,Yes,165,0,Rural,N
Male,Yes,,0,Rural,N
Female,No,116,0,Semiurban,N
Male,Yes,258,1,Semiurban,N
Male,No,126,0,Urban,N
Male,Yes,312,1,Urban,Y
Male,Yes,125,1,Urban,Y
Female,No,136,0,Semiurban,N
Male,Yes,172,1,Urban,Y
Male,Yes,97,1,Semiurban,Y
Male,No,81,1,Semiurban,Y
